"Treatment_name","Treatment_number","Leaf_Ear_mass","Stem_mass","Sim_biom","Sim_yield","Sim_HI","RUE","Sim_Emer_Anth_days","Sim_Emer_Matur_days","No_exper","Repetition","Training_treatments","ML_model"
"9C",7,263.455807154237,209.89142761453,875.149882392264,401.802647623603,0.45912438052926,0.369037353707047,46,81,3,1,"1H,14H,10C","Random_forests"
"9H",8,255.659116452647,202.725760377972,799.225243538258,340.840366707829,0.426463465041334,0.421038788790046,46,75,3,1,"1H,14H,10C","Random_forests"
"10C",9,230.562776408269,179.896610258062,526.807382091343,116.347995425979,0.220854907089752,0.235636897044859,40,54,3,1,"1H,14H,10C","Random_forests"
"14C",10,508.773088412095,449.248302047838,1666.58915274307,708.56776228314,0.425160430881777,0.363864500880383,85,124,3,1,"1H,14H,10C","Random_forests"
"14H",11,491.78975533761,431.953585330859,1593.51853958994,669.775198921474,0.420312147164492,0.392870252177234,87,125,3,1,"1H,14H,10C","Random_forests"
"15C",12,396.092895889681,336.329105682395,1349.06917154828,616.647169976642,0.457090846771731,0.35049535704267,68,105,3,1,"1H,14H,10C","Random_forests"
"1C",1,389.420277232938,302.717022441659,1253.04056520923,560.903265534634,0.447633764706552,0.671710193157196,49,80,3,2,"7C,9C,15C","XG_boost"
"1H",2,247.283612134901,151.728449735593,731.404037182714,332.39197531222,0.454457397572696,0.36664405465126,45,76,3,2,"7C,9C,15C","XG_boost"
"2C",3,197.080251473595,107.441591130578,560.066765383518,255.544922779345,0.456275820266455,0.773878276348114,39,67,3,2,"7C,9C,15C","XG_boost"
"7C",4,545.422957212086,505.331952298525,1859.4059912752,808.65108176459,0.434897534782067,0.0750218257308006,86,124,3,2,"7C,9C,15C","XG_boost"
"7H",5,515.632602816942,463.954902832336,1710.20293976847,730.615434144447,0.427209787303582,0.579091489315033,82,115,3,2,"7C,9C,15C","XG_boost"
"8C",6,411.981749436807,329.790987467159,1376.20709776119,634.434360857227,0.461002099094912,0.543967366218567,65,102,3,2,"7C,9C,15C","XG_boost"
"9C",7,402.306878805385,318.08385367657,1328.83329765072,608.442565171544,0.457877271925099,0.111879460513592,51,85,3,2,"7C,9C,15C","XG_boost"
"9H",8,291.719986516373,195.0868705281,913.154849021999,426.347992045369,0.466895611956716,0.354526042938232,47,81,3,2,"7C,9C,15C","XG_boost"
"10C",9,280.239954914319,183.530513804544,842.635475603804,378.865006884941,0.449619103223085,0.624686002731323,41,68,3,2,"7C,9C,15C","XG_boost"
"14C",10,493.62802682704,434.178007206893,1710.1654456304,782.359411601705,0.457475862116553,0.371750116348267,92,132,3,2,"7C,9C,15C","XG_boost"
"14H",11,519.898442464477,469.805404312149,1781.69181157264,791.987964828734,0.444514567381702,0.249135702848434,92,126,3,2,"7C,9C,15C","XG_boost"
"15C",12,491.801858474838,431.737335462621,1522.56378432588,599.024590392928,0.393431524222251,0.116392537951469,80,110,3,2,"7C,9C,15C","XG_boost"
"1C",1,482.107627287181,418.860191139022,1520.93858972147,619.970771297233,0.407623802490781,0.31219244654153,53,81,3,2,"7C,9C,15C","Random_forests"
"1H",2,479.073007300276,414.856730790867,1442.46482910093,548.535091011274,0.380276232698975,0.388003998238264,51,75,3,2,"7C,9C,15C","Random_forests"
"2C",3,446.416098877867,372.616861155879,1283.58404397091,464.551083937194,0.361917153862439,0.554694944584812,46,67,3,2,"7C,9C,15C","Random_forests"
"7C",4,526.70192060281,479.188038811109,1797.18756724415,791.297607879287,0.440297730911126,0.303692980718455,86,124,3,2,"7C,9C,15C","Random_forests"
"7H",5,530.300295647744,484.176175468193,1643.08202682014,628.605555765214,0.382577099319719,0.840213422779721,86,113,3,2,"7C,9C,15C","Random_forests"
"8C",6,451.063492374609,378.532828485584,1509.0068324476,679.410511587455,0.450236869030909,0.371145995224854,65,101,3,2,"7C,9C,15C","Random_forests"
"9C",7,458.45766675755,388.01091719101,1564.59090578289,718.122321834482,0.458984082791371,0.212921636166167,51,87,3,2,"7C,9C,15C","Random_forests"
"9H",8,457.941242862577,387.346343611892,1476.77322824559,631.485641771261,0.427611788792696,0.260051712018811,50,81,3,2,"7C,9C,15C","Random_forests"
"10C",9,467.607344908165,399.849911148111,1384.94441889847,517.487162842654,0.373651935616479,0.777216732155642,46,68,3,2,"7C,9C,15C","Random_forests"
"14C",10,514.349677521219,462.200317044016,1728.05635588129,751.506361339197,0.434885331593215,0.364581472335403,96,131,3,2,"7C,9C,15C","Random_forests"
"14H",11,544.139151458706,503.523963582348,1610.3835056918,562.720390650744,0.349432534959433,1.09195309724409,98,122,3,2,"7C,9C,15C","Random_forests"
"15C",12,495.635133155167,436.865933364607,1538.61940713518,606.118340621555,0.393936497752951,0.266580599346928,80,111,3,2,"7C,9C,15C","Random_forests"
"1C",1,339.122550412926,290.704065619737,1094.05292773101,464.226311698357,0.424317964818329,0.62135773897171,50,77,3,3,"7C,9H,2C","XG_boost"
"1H",2,277.277436660842,224.388616902794,879.440508549195,377.774454989252,0.429562262957916,0.263501822948456,48,71,3,3,"7C,9H,2C","XG_boost"
"2C",3,196.384421900868,143.995496013594,577.870816259378,237.490898344916,0.410975760780275,0.219929367303848,43,63,3,3,"7C,9H,2C","XG_boost"
"7C",4,500.96296961625,480.133342766434,1728.1840730879,747.087760705322,0.432296404265799,0.736980259418488,86,123,3,3,"7C,9H,2C","XG_boost"
"7H",5,432.854315836704,397.87582232451,1436.06782525116,605.337687089946,0.421524440869689,0.166293978691101,77,109,3,3,"7C,9H,2C","XG_boost"
