Model	Version	PNO	Trt	Planting.date	Emergence.date	Ant.date	Mat.date	FLN	Yield	Biom.an	Biom.ma	HI	GNumber	CroN.an	CroN.ma	GrainN.ma	GPC	GDM.ma	GNM.ma	ET.ma	Transp.ma
SQ	Improved	7	C	2008-01-02	2008-01-13	2008-04-09	2008-05-12	7.65	7.94	12.11	18.17	43.72	17431	211	243	192	13.78	45.57	1.1	598.37	NA
SQ	Improved	7	H	2008-01-02	2008-01-13	2008-04-02	2008-05-03	8.07	6.65	10.14	15.16	43.86	15581.67	190	216.67	173	14.87	43.06	1.11	547.2	NA
SQ	Improved	8	C	2008-02-13	2008-02-23	2008-04-23	2008-05-21	8.02	4.99	9.14	12.64	39.5	15482	150	167	128	14.62	32.24	0.83	535.95	NA
SQ	Improved	9	C	2008-03-10	2008-03-21	2008-05-07	2008-06-01	9.19	3.26	7.82	10	32.57	11463.33	143	160	106	18.55	28.42	0.92	474.16	NA
SQ	Improved	9	H	2008-03-10	2008-03-20	2008-05-07	2008-05-26	9.84	2.56	8	9.88	25.85	11415.67	143	154.67	77.33	17.16	22.41	0.68	459.43	NA
WG	Improved	10	C	2008-04-28	2008-05-04	2008-06-19	2008-06-29	NA	0	2.17	2.98	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	11	C	2008-08-25	2008-08-29	NA	NA	NA	0.73	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	14	C	2008-12-01	2008-12-12	2009-03-10	2009-04-25	NA	10.81	16.38	25.68	42.08	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	14	H	2008-12-01	2008-12-11	2009-02-28	2009-04-10	NA	9.66	14.7	22.87	42.26	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	15	C	2009-01-12	2009-01-21	2009-04-10	2009-05-15	NA	6.15	9.13	14.61	42.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	1	C	2007-03-13	2007-03-19	2007-05-21	2007-06-09	NA	4.48	6.73	10.58	42.3	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	1	H	2007-03-13	2007-03-19	2007-05-18	2007-06-02	NA	2.63	5.49	8.2	42.07	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	2	C	2007-04-19	2007-04-26	2007-06-09	2007-06-22	NA	0.99	1.59	2.35	42.13	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	3	C	2007-06-12	2007-06-16	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	4	C	2007-07-25	2007-07-29	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	7	C	2008-01-02	2008-01-13	2008-04-07	2008-05-15	NA	8.68	12.97	20.53	42.26	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	7	H	2008-01-02	2008-01-13	2008-03-30	2008-05-05	NA	10.13	15.18	23.94	42.34	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	8	C	2008-02-13	2008-02-24	2008-05-08	2008-06-06	NA	4.66	6.64	11.07	42.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	9	C	2008-03-10	2008-03-18	2008-05-27	2008-06-18	NA	3.23	4.92	7.69	42.02	NA	NA	NA	NA	NA	NA	NA	NA	NA
WG	Improved	9	H	2008-03-10	2008-03-17	2008-05-25	2008-06-13	NA	0.98	5.05	7.67	42.18	NA	NA	NA	NA	NA	NA	NA	NA	NA
e.mean	Improved	10	C	2008-04-28	2008-05-06	2008-06-17	2008-07-08	13.47	1.07	3.85	4.34	24.78	6214.43	89.05	95.41	37.8	19.27	19.85	0.52	327.17	191.34
e.mean	Improved	11	C	2008-08-25	2008-09-04	NA	NA	NA	1.26	NA	NA	NA	NA	NA	NA	36.66	NA	28.46	0.71	NA	NA
e.mean	Improved	14	C	2008-12-01	2008-12-17	2009-03-23	2009-05-03	13.1	8.22	12.46	18.38	45.12	18869.05	228.48	273.75	210.93	15.11	42.12	1.09	508.97	399.48
e.mean	Improved	14	H	2008-12-01	2008-12-16	2009-03-12	2009-04-22	13.05	7.47	10.78	16.36	46.11	15627.51	204.95	248.64	188.64	14.96	44.17	1.15	453.83	349.69
e.mean	Improved	15	C	2009-01-12	2009-01-23	2009-04-11	2009-05-14	13.31	6.69	11.49	15.84	42.42	19053.28	190.5	232.85	173.25	14.76	38.03	0.94	528.76	400.12
e.mean	Improved	1	C	2007-03-13	2007-03-25	2007-05-15	2007-06-09	13.12	3.86	7.72	10.24	37.73	11698.4	170.12	192.19	115.09	16.44	34.9	0.91	466.47	333.72
e.mean	Improved	1	H	2007-03-13	2007-03-25	2007-05-11	2007-06-03	13.34	2.85	6.67	8.34	34.67	10548.15	155.01	169.89	89	16.72	27.96	0.73	429.12	290.2
e.mean	Improved	2	C	2007-04-19	2007-04-28	2007-06-08	2007-06-30	12.98	1.65	4.16	5.18	31.23	7491.61	104.93	122.79	57.49	17.93	23.21	0.62	403.49	219.33
